line_no,word,pos_list,n_senses,declared_cefr,source_oxford_badge,badge_match,src_cambridge_flag,src_oxford_flag,card_status,card_reason,tags
109,harbored,verb,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
110,harnessing,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED idioms Source::Oxford
111,hostile,adjective,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
112,monitors,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge Source::Oxford
113,oblivion,noun,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
114,paradox,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
115,sustain,verb,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
116,teeming,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
117,unique,adjective,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
118,venture,noun|verb,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
119,observable,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
120,hospitable,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
121,grandiose,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
122,primitive,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
123,undetectable,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
124,eliminate,verb,2,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
125,dismantle,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
126,component,noun,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
127,genocide,noun,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
128,consciousness,noun,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
129,immortality,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
130,acknowledge,verb,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
131,apocalyptic,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
132,embryo,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge idioms Source::Oxford
133,arrogant,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
134,unfiltered,adjective,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
135,unsettling,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
136,inhabitant,noun,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_5000 Source::Oxford
137,projection,noun,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
138,synapse,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
139,distinguish,verb,2,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
140,theoretical,adjective,2,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
141,barrier,noun,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
142,inherently,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
143,concept,noun,2,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
144,absurdly,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
145,convenient,adjective,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
146,vast,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_3000 Source::Oxford
147,bizarre,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
148,glitch,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"2/2 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
149,eternal,adjective,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
150,inception,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
151,resilient,adjective|noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
152,carrying capacity,noun,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
153,colonize,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
154,consensus,noun,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
155,devour,verb,3,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge idioms Source::Oxford
156,abundant,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
157,sophisticated,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_5000 Source::Oxford
158,blink of an eye,idiom,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
159,daunting,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
160,hypothesis,noun,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
161,existential,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
162,uninhabitable,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
163,sterile,noun,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
164,devoid,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
165,harbor,noun,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
166,linger,verb,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
167,introspection,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
168,audition,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
169,detach,verb,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
170,authenticity,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
171,manipulate,verb,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
172,burnout,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
173,superficially,verb,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
174,spectacle,noun,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
175,profound,adjective,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
176,validate,verb,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge OPAL_W Source::Oxford
177,mirror,noun,1,A2,A2,yes,Cambridge,Oxford,match,,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED idioms Oxford_3000 Source::Oxford
178,discipline,noun,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
179,self-preservation,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
180,intimacy,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
181,congruence,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
182,curated,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED idioms Source::Oxford
183,distorted,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
184,currency,noun,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
185,cram,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED old_fashioned Source::Oxford
186,neglect,noun|verb,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
187,circulatory,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
