word,pos,audit_cefr,oxford_badge,reason,audit_def
conundrum,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a confusing problem or question that is very difficult to solve|a question, usually involving a trick with words, that you ask for fun"
converse,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to have a conversation with somebody"
converse,adjective, noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"opposite|the opposite of a fact or statement"
convoluted,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"extremely complicated and difficult to follow|having many twists or curves"
convulsion,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a sudden shaking movement of the body that cannot be controlled|a sudden important change that happens to a country or an organization"
corrosive,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"tending to destroy or damage something gradually, whether by chemical action or other means"
counterfeit,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"made to look exactly like something in order to trick people into thinking that they are getting the real thing"
countermeasure,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a course of action taken to protect against something that is considered bad or dangerous"
cram,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to push or force somebody/something into a small space; to move into a small space with the result that it is full|to learn a lot of things in a short time, in preparation for an exam"
criteria,noun,UNCLASSIFIED,,word not in oxford,"standards by which sth is judged, decided, or graded."
curated,adjective,UNCLASSIFIED,,word not in oxford,"an assistant to a vicar (= a priest, who is in charge of the church or churches in a particular area) | sth that has some good parts and some bad ones"
curse,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a rude or offensive word or phrase that some people use when they are very angry|a word or phrase that has a magic power to make something bad happen|something that causes harm or evil"
dabbler,noun,UNCLASSIFIED,,word not in oxford,"a person who follows a pursuit without serious commitment or knowledge"
daunt,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to make somebody feel nervous and less confident about doing something"
debase,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to make somebody/something less valuable or respected"
declarative,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"in the form of a simple statement"
delve,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to reach inside a bag, container, etc. to search for something"
denote,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to be a sign of something|to mean something"
designated,adjective,UNCLASSIFIED,,word not in oxford,"[formal] chosen to do a job but not yet having officially started it"
destabilizing,verb,UNCLASSIFIED,,word not in oxford,"to make a system, country, government, etc. become less well established or successful"
destined,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"having a future that has been decided or planned at an earlier time, especially by fate|on the way to or intended for a place"
detach,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to remove something from something larger; to become separated from something|to leave or separate yourself from somebody/something|to send a group of soldiers, etc. away from the main group, especial"
deviate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to be different from something; to do something in a different way from what is usual or expected"
devoid,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"completely without something"
discrete,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"separate and different from other things of the same type"
dismantle,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to take apart a machine or structure so that it is in separate pieces|to end an organization or a system gradually in an organized way"
distorted,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"pulled out of shape so that it looks strange; made to sound strange|presented in a way that changes them so that they are no longer correct or true"
drastic,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"extreme in a way that has a sudden, serious or violent effect on something"
durable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"likely to last for a long time without breaking or getting weaker"
dysfunctional,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not working well or normally"
effortless,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"needing little or no effort, so that it seems easy"
elasticity,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the quality that something has of being able to stretch and return to its original size and shape (= of being elastic)"
eliminated,verb,UNCLASSIFIED,,word not in oxford,"to stop considering that sb/sth might be responsible for sth or chosen for sth | to defeat a person or a team so that they no longer take part in a competition, etc."
embossed,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"having a surface decorated with a raised design or piece of writing"
eminent,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"famous and respected, especially in a particular profession|unusual; excellent"
epitome,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a perfect example of something"
equate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to think that something is the same as something else or is as important"
ergonomic,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"designed to make people’s working environment more comfortable and to help them work more efficiently"
evolved,verb,UNCLASSIFIED,,word not in oxford,"to develop gradually, especially from a simple to a more complicated form; to develop sth in this way | [biology] to develop over time, often many generations, into forms that are better adapted to su"
exhilarating,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"very exciting and great fun"
existential,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"connected with human existence|connected with the theory of existentialism"
expend,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to use or spend a lot of time, money, energy, etc."
exponentially,adverb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"in a way that is connected with or shown by an exponent|in a way that becomes faster and faster"
extrapolated,verb,UNCLASSIFIED,,word not in oxford,"[formal] to estimate sth or form an opinion about sth, using the facts that you have now and that are relevant to one situation and supposing that they will be relevant to the new one"
fad,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"something that people are interested in for only a short period of time"
fermentation,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the process of chemical change caused by the action of yeast or bacteria, often changing sugar to alcohol"
finite,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"having a definite limit or fixed size|a finite verb form or clause shows a particular tense, person and number"
fleeting,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"lasting only a short time"
foraging,noun,UNCLASSIFIED,,word not in oxford,"food for horses and cows"
galactic,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"relating to a galaxy"
gouging,noun,UNCLASSIFIED,,word not in oxford,"a sharp tool for making hollow areas in wood | a deep, narrow hole or cut in a surface"
granary,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a building where grain is stored"
grandiose,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"seeming very impressive but too large, complicated, expensive, etc. to be practical or possible"
granular,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"consisting of small granules; looking or feeling like a collection of granules|detailed"
gratification,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the state of feeling pleasure when something goes well for you or when your desires are satisfied; something that gives you pleasure"
gullible,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"too willing to believe or accept what other people tell you and therefore easily tricked"
habitable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"suitable for people to live in"
harbor,noun,UNCLASSIFIED,,word not in oxford,"To contain or keep sth/sb within."
harbor,verb,UNCLASSIFIED,,word not in oxford,"to contain sth, especially sth hidden or dangerous (in this context, to hold or contain life)."
harness,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to put a harness on a horse or other animal; to attach a horse or other animal to something with a harness|to control and use the force or strength of something to produce power or to achieve somethin"
holistic,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"considering a whole thing or being to be more than a collection of parts|treating the whole person rather than just the symptoms (= effects) of a disease"
homeostasis,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the process by which the body reacts to changes in order to keep conditions inside the body, for example temperature, the same"
hyperfocus,verb,UNCLASSIFIED,,word not in oxford,"to concentrate on sth very intensely, to the exclusion of other things."
hypothetical,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"based on situations or ideas that are possible and imagined rather than real and true"
ignorant,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not having or showing much knowledge or information about things; not educated|not having any knowledge or information about a particular thing|with very bad manners"
imbalance,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a situation in which two or more things are not the same size or are not treated the same, in a way that is unfair or causes problems"
immortality,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the state of living or lasting forever"
impactful,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"having a major impact or effect"
impair,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to damage something or make something worse"
implicate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to show or suggest that somebody is involved in something bad or criminal ; to show or suggest that something is the cause of something bad"
impulse,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a sudden strong wish or need to do something, without stopping to think about the results|a force or movement of energy that causes something else to react|something that causes somebody/something to "
impulsive,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"acting suddenly without thinking carefully about what might happen because of what you are doing"
incantation,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"special words that are spoken or sung to have a magic effect; the act of speaking or singing these words"
incentivize,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to encourage somebody to behave in a particular way by offering them a reward"
inception,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the start of an institution, an organization, etc."
incline,noun, verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a slope|to bend your head forward, especially as a sign of agreement, welcome, etc."
incompetence,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the lack of skill or ability to do your job or a task as it should be done"
inflammatory,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"intended to cause very strong feelings of anger|causing or involving inflammation"
ingrained,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"deeply established and difficult to change or remove"
innovate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to introduce new things, ideas or ways of doing something"
intangible,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"that exists but cannot be touched; difficult to describe, understand or measure|that does not exist as a physical thing but is still valuable to a company"
interweave,verb,UNCLASSIFIED,,word not in oxford,"twisted together or connected closely."
intolerance,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the fact of not being willing to accept ideas or ways of behaving that are different from your own|the fact of not being able to eat particular foods, use particular medicines, etc. without becoming i"
intrinsic,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"belonging to or part of the real nature of something/somebody"
introspection,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the careful examination of your own thoughts, feelings and reasons for behaving in a particular way"
intuitive,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"obtained by using your feelings rather than by considering the facts ; able to understand something by using feelings rather than by considering the facts ; easy to understand and to use"
invading,verb,UNCLASSIFIED,,word not in oxford,"to enter a place in large numbers, especially in a way that causes damage or problems | to affect sth in an unpleasant or annoying way"
irrational,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not based on, or not using, clear logical thought"
irreversible,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"that cannot be changed back to what it was before"
irreversibly,adverb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"in a way that means something cannot be changed back to what it was before"
levity,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"behaviour that shows a lack of respect for something serious and that treats it with humour"
levy,noun, verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"an extra amount of money that has to be paid, especially as a tax to the government|to use official authority to demand and collect a payment, tax, etc."
ligaments,noun,UNCLASSIFIED,,word not in oxford,"[formal, informal] a strong band of tissue in the body that connects bones and supports organs and keeps them in position"
lineage,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the series of families that somebody comes from originally"
logistical,adjective,UNCLASSIFIED,,word not in oxford,"Relating to the careful organization of a complicated activity."
longevity,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"long life; the fact of lasting a long time"
mainland,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"belonging to the main area of land of a country or region, not including any islands near to it"
majestic,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"impressive because of size or beauty"
malleability,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the ability to be hit or pressed into different shapes easily without breaking or cracking (= starting to split)|the fact of being easily influenced or changed"
manageable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"possible to deal with or control"
mediocre,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not very good; of only average standard"
microscopic,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"extremely small and difficult or impossible to see without a microscope|using a microscope"
mimic,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to copy the way somebody speaks, moves, behaves, etc., especially in order to make other people laugh ; to look or behave like something else"
misconception,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a belief or an idea that is not based on correct information, or that is not understood by people"
misinformation,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the act of giving wrong information about something; the wrong information that is given"
moodiness,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the fact of having moods that change quickly and often|behaviour or qualities that suggest particular emotions, especially sad ones"
morph,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to change smoothly from one image to another using computer animation; to make an image change in this way|to change, or make somebody/something change, into something different"
mortality,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the state of being human and not living forever|the number of deaths in a particular situation or period of time|a death"
mundane,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not interesting or exciting"
negate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to stop something from having any effect|to state that something does not exist"
notwithstanding,adverb, conjunction, preposition,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"despite this|although; despite the fact that|without being affected by something; despite something"
oblivion,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a state in which you are not aware of what is happening around you, usually because you are unconscious or asleep|the state in which somebody/something has been forgotten and is no longer famous or im"
obscure,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to make it difficult to see, hear or understand something"
observable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"that can be seen or noticed"
onset,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the beginning of something, especially something unpleasant"
opacity,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the fact of being difficult to see through; the fact of being opaque|the fact of being difficult to understand; the fact of being opaque"
optimal,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the best possible; producing the best possible results"
orient,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to direct somebody/something towards something; to make or adapt somebody/something for a particular purpose|to find your position in relation to everything that is around or near you|to make yourself"
outweigh,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to be greater or more important than something"
overlap,noun, verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a shared area of interest, knowledge, responsibility, etc.|the amount by which one thing covers another thing|a period of time in which two events or activities happen together"
overpower,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to defeat or gain control over somebody completely by using greater strength|to be so strong or great that it affects somebody/something seriously"
overtly,adverb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"in a way that is open and not secret"
paradigm,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a typical example or pattern of something|a set of all the different forms of a word"
paternity,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the fact of being the father of a child"
perpetuate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to make something such as a bad situation, a belief, etc. continue for a long time"
pervasive,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"existing in all parts of a place or thing; spreading gradually to affect all parts of a place or thing"
physiological,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"connected with the scientific study of the normal functions of living things|connected with the way in which a particular living thing functions"
pleasurable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"giving pleasure"
potent,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"having a strong effect or power"
precocious,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"having developed particular abilities and ways of behaving at a much younger age than usual"
predominant,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"most obvious or easy to notice|having more power or influence than others"
prevalent,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"that exists or is very common at a particular time or in a particular place"
prioritize,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to put tasks, problems, etc. in order of importance, so that you can deal with the most important first|to treat something as being more important than other things"
procedural,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"involving or following a formal procedure"
proficient,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"able to do something well because of training and practice"
qualitative,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"connected with what something is like or how good it is, rather than with how much of it there is"
qualitative,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"connected with what something is like or how good it is, rather than with how much of it there is"
rampant,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"existing or spreading everywhere in a way that cannot be controlled|growing thickly and very fast in a way that cannot be controlled"
randomized,adjective,UNCLASSIFIED,,word not in oxford,"[specialist] to use a method in an experiment, a piece of research, etc. that gives every item an equal chance of being considered; to put things in a random order"
reassemble,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to fit the parts of something together again after it has been taken apart|to meet together again as a group after a break"
redistribution,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the act of sharing something out among people in a different way"
relay,noun,UNCLASSIFIED,,word not in oxford,"a device or station that receives a signal and transmits it to another. to pass sth along."
reluctance,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the feeling of being unwilling to do something and hesitating before you do it, because you do not want to do it or because you are not sure that it is the right thing to do"
replenish,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to make something full again by replacing what has been used"
resilient,adjective, noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"returning to its original shape after being bent, stretched, or pressed"
restrain,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to stop somebody/something from doing something, especially by using physical force|to stop yourself from feeling an emotion or doing something that you would like to do|to stop something that is grow"
retaliate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to do something harmful to somebody because they have harmed you first"
retention,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the action of keeping something rather than losing it or stopping it|the action of keeping liquid, heat, etc. inside something rather than letting it escape|the ability to remember things"
revolting,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"extremely unpleasant"
rover,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a person who likes to travel a lot rather than live in one place|a spacecraft designed to move on a planet or moon"
ruminate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to think deeply about something"
sanity,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the state of having a healthy, sound, or sensible mind"
saturate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to make something completely wet|to fill something/somebody completely with something so that it is impossible or useless to add any more"
scarcity,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"if there is a scarcity of something, there is not enough of it and it is difficult to obtain it"
scoliosis,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a condition that somebody is born with or that is caused by disease or injury in which the spine curves from side to side"
sedentary,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"in which you spend a lot of time sitting down|spending a lot of time sitting down and not moving|that stay and live in the same place or area"
self-preservation,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the fact of protecting yourself in a dangerous or difficult situation"
short-sighted,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"able to see things clearly only if they are very close to you|not thinking carefully about the possible effects of something or what might happen in the future"
shortsighted,adjective,UNCLASSIFIED,,word not in oxford,"lacking imagination or foresight. failing to consider future consequences"
