word,pos,audit_cefr,oxford_senses,audit_senses,missing,oxford_badge,audit_def
ruin,noun, verb,B2,5,3,2,B2,"the state or process of being destroyed or severely damaged|the parts of a building that remain after it has been destroyed or severely damaged|the fact of having no money, of having lost your job, po"
seize,verb,C1,5,3,2,C1,"to take somebody/something in your hand suddenly and using force|to take control of a place or situation, often suddenly and violently|to arrest or capture somebody"
sin,noun,C1,3,1,2,C1,"an act that breaks a religious or moral law, or the concept of doing so"
standard,noun,B1,4,2,2,B1,"a level of quality, especially one that people think is acceptable ; a level of quality that is normal or acceptable for a particular person or in a particular situation"
strip,verb,C1,5,3,2,C1,"to take off all or most of your clothes or another person’s clothes|to remove a layer from something, especially so that it is completely exposed|to remove all the things from a place and leave it emp"
strip,verb,C1,5,3,2,C1,"to take off all or most of your clothes or another person’s clothes|to remove a layer from something, especially so that it is completely exposed|to remove all the things from a place and leave it emp"
surrender,verb,C1,3,1,2,C1,"to admit defeat and stop fighting, or to give up something when forced to"
tackle,noun,C1,4,2,2,B2,"an act of trying to take the ball from an opponent in football (soccer), hockey, etc.; an act of knocking somebody to the ground, for example in rugby or American football"
abortion,noun,C1,2,1,1,C1,"the deliberate ending of a pregnancy, whether by medical operation or other means"
absorb,verb,B2,2,1,1,B2,"to take in a substance or a form of energy from the surface or space around"
acceptance,noun,C1,4,3,1,C1,"the act of accepting a gift, an invitation, an offer, etc.|the act of agreeing with something and approving of it|the process of allowing somebody to join something or be a member of a group"
accumulate,verb,C1,2,1,1,C1,"to gradually get more and more of something, or to gradually increase in amount, over a period of time"
acute,adjective,C1,4,3,1,C1,"very serious or severe|an acute illness is one that has quickly become severe and dangerous|very sensitive and well developed"
administer,verb,C1,4,3,1,C1,"to manage and organize the affairs of a company, an organization, a country, etc.|to make sure that something is done fairly and in the correct way|to give or to provide something, especially in a for"
advocate,noun,C1,2,1,1,C1,"a person who supports or speaks in favour of somebody or of a public plan or action"
appreciation,noun,C1,4,3,1,C1,"pleasure that you have when you recognize and enjoy the good qualities of somebody/something|a full understanding of something, such as a situation or a problem, and of what it involves|the feeling of"
arm,verb,C1,2,1,1,C1,"to provide weapons for yourself/somebody in order to fight a battle or a war"
arrow,noun,B2,2,1,1,B2,"a thin stick with a sharp point at one end, which is shot from a bow"
ash,noun,C1,2,1,1,C1,"the grey or black powder or remains left after something has been burnt"
attribute,noun, verb,C1,4,3,1,C1,"a quality or feature of somebody/something|to say or believe that something is the result of a particular thing|to say or believe that somebody is responsible for doing something, especially for sayin"
auction,noun,B2,2,1,1,B2,"a public sale in which things are sold to the person who offers the most money for them"
audit,noun,C1,3,2,1,C1,"an official examination of business and financial records to see that they are true and correct|an official examination of the quality or standard of something"
bail,noun,C1,2,1,1,C1,"money that somebody agrees to pay if a person accused of a crime does not appear at their trial. When bail has been arranged, the accused person is allowed to go free until the trial."
bare,adjective,C1,5,4,1,C1,"not covered by any clothes|not covered with leaves; without plants or trees|not covered with or protected by anything"
basket,noun,B2,4,3,1,B2,"a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker.|the amount contained in a basket|a facil"
bat,verb,C1,2,1,1,C1,"to hit a ball with a bat, especially in a game of baseball or cricket"
betray,verb,C1,4,3,1,C1,"to give information about somebody/something to an enemy|to hurt somebody who trusts you, especially by lying to or about them or telling their secrets to other people|to ignore your principles or bel"
boost,noun, verb,B2,3,2,1,B2,"something that helps, encourages, or increases something else|to make something increase, or become better or more successful"
bounce,verb,C1,4,3,1,C1,"if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this|to jump up and down on something|to move a child up and down while they are sitting o"
breach,noun, verb,C1,4,3,1,C1,"a failure to do something that must be done by law|an action that breaks an agreement to behave in a particular way|a break in a relationship between people or countries"
breakdown,noun,C1,4,3,1,C1,"an occasion when a vehicle or machine stops working|a failure of a relationship, discussion or system|detailed information that you get by studying a set of figures"
burden,noun,C1,2,1,1,C1,"a duty, responsibility, etc. that causes worry, difficulty or hard work"
chapel,noun,C2,4,3,1,None,"a small building or room where Christians go to pray, attend religious services, etc. in a school, prison, large private house, etc.|a separate part of a church or cathedral, with its own altar, used "
chapel,noun,C2,4,3,1,None,"a small building or room where Christians go to pray, attend religious services, etc. in a school, prison, large private house, etc.|a separate part of a church or cathedral, with its own altar, used "
circulation,noun,C1,4,3,1,C1,"the movement of blood around the body|the passing or spreading of something from one person or place to another|the usual number of copies of a newspaper or magazine that are sold each day, week, etc."
civilization,noun,B2,4,3,1,B2,"a state of human society that is very developed and organized|a society, its culture and its way of life during a particular period of time or in a particular part of the world|all the people in the w"
compound,noun,B2,4,3,1,B2,"a thing consisting of two or more separate things combined together|a substance formed by a chemical reaction of two or more elements in fixed amounts relative to each other|a noun, an adjective or a "
compromise,noun, verb,C1,6,5,1,C1,"an agreement made between two people or groups in which each side gives up some of the things they want so that both sides are happy at the end ; a solution to a problem in which two or more things ca"
concession,noun,C1,2,1,1,C1,"something you give or allow in order to end an argument or make a situation less difficult, or the act of giving it"
confess,verb,B2,2,1,1,B2,"to admit that you have done something wrong, illegal, or embarrassing"
confront,verb,C1,4,3,1,C1,"to appear and need to be dealt with by somebody|to deal with a problem or difficult situation|to face somebody so that they cannot avoid seeing and hearing you, especially in an unfriendly or dangerou"
conquer,verb,C1,4,3,1,C1,"to take control of a country or city and its people by force|to defeat somebody, especially in a competition, race, etc.|to succeed in dealing with or controlling something"
consistent,adjective,B2,2,1,1,B2,"always behaving in the same way, or continuing in the same way without changing"
consultation,noun,C1,4,3,1,C1,"the act of discussing something with somebody or with a group of people before making a decision about it|a formal meeting to discuss something|a meeting with an expert, especially a doctor, to get ad"
contemplate,verb,C1,4,3,1,C1,"to think about whether you should do something, or how you should do something|to think carefully about and accept the possibility of something happening|to think deeply about something for a long tim"
contrast,noun,B1,3,2,1,B1,"a difference between two or more people or things that you can see clearly when they are compared or put close together; the fact of comparing two or more things in order to show the differences betwe"
convict,verb,C1,2,1,1,C1,"to decide and state officially in court that somebody is guilty of a crime"
cooperative,adjective,C1,4,3,1,C1,"involving doing something together or working together with others towards a shared aim|helpful by doing what you are asked to do|owned and run by the people involved, with the profits shared by them"
correction,noun,C1,2,1,1,C1,"a change that makes something more accurate, or the act of making it more accurate"
corridor,noun,B2,2,1,1,B2,"a long narrow passage in a building, train, or other structure, with doors or compartments on the sides"
costly,adjective,C1,2,1,1,C1,"costing a lot of money, or causing problems or the loss of something valuable"
critical,adjective,B2,4,3,1,B2,"saying what you think is bad about somebody/something|extremely important because a future situation will be affected by it|serious, uncertain and possibly dangerous"
critically,adverb,B2,4,3,1,B2,"in a way that says what you think is bad about somebody/something|in a way that is extremely important because a future situation will be affected by it|in a way that is serious, uncertain and possibl"
critique,noun,C1,2,1,1,C1,"a piece of written criticism of a set of ideas, a work of art, etc."
crown,noun,C1,4,3,1,C1,"an object in the shape of a circle, usually made of gold and precious stones, that a king or queen wears on his or her head on official occasions|the government of a country, thought of as being repre"
cult,adjective, noun,C1,4,3,1,C1,"very popular with a particular group of people|a way of life, an attitude, an idea, etc. that has become very popular|a small group of people who have extreme religious beliefs and who are not part of"
cynical,adjective,C1,2,1,1,C1,"believing that people act mainly in self-interest, or that something is unlikely to succeed or be valuable"
democracy,noun,B2,2,1,1,B2,"a system of government in which people vote to elect their representatives, or a country that has this system"
demon,noun,C1,2,1,1,C1,"an evil spirit, or a thing that causes someone great worry and unhappiness"
deposit,noun,C2,2,1,1,C1,"(in the British political system) the amount of money that a candidate in an election to Parliament has to pay, and that is returned if he/she gets enough votes"
devil,noun,C1,2,1,1,C1,"an evil spirit, or the most powerful evil being (often called 'the Devil')"
disconnect,verb,C1,4,3,1,None,"to remove a piece of equipment from a supply of gas, water or electricity|to officially stop the supply of phone lines, water, electricity or gas to a building|to break the contact between two people "
editorial,adjective,B2,2,1,1,B2,"connected with the task of preparing something such as a newspaper, a book or a television or radio programme, to be published or broadcast"
elite,noun,C1,3,2,1,C1,"a small group of people in a society, etc. who are powerful and have a lot of influence, because they are rich, intelligent, etc.|a group of people with the greatest ability at the highest level of co"
endless,adjective,C1,2,1,1,C1,"very large in size or amount, or continuing for a long time, in a way that seems to have no end"
enterprise,noun,C1,4,3,1,C1,"a company or business|a large project, especially one that is difficult|the development of businesses by the people of a country rather than by the government"
equip,verb,B2,2,1,1,B2,"to provide someone or something with what is needed for a particular purpose, whether tools or skills"
erect,verb,C1,2,1,1,C1,"to build or put something in position so that it stands upright"
estimate,noun,B2,3,2,1,B2,"a judgement that you make without having the exact details or figures about the size, amount, cost, etc. of something ; a statement of how much a piece of work will probably cost"
evacuate,verb,C1,2,1,1,C1,"to move people out of a place of danger to a safer place, or to leave a dangerous place"
exile,noun,C1,3,2,1,C1,"the state of being sent to live in another country that is not your own, especially for political reasons or as a punishment|a person who chooses, or is forced, to live away from his or her own countr"
expire,verb,C1,2,1,1,C1,"to be no longer legally valid, or to end"
explicit,adjective,C1,2,1,1,C1,"said or stated clearly, openly, and in detail, leaving no doubt about the meaning"
extremist,noun,C1,2,1,1,C1,"a person whose opinions, especially about religion or politics, are extreme, and who may do things that are violent or illegal for what they believe"
flavour,noun,B2,3,2,1,B2,"how food or drink tastes ; a particular type of taste"
fond,adjective,B2,2,1,1,B2,"feeling warm affection or a strong liking for someone or something"
formulate,verb,C1,2,1,1,C1,"to create or express something carefully, paying attention to detail"
fulfil,verb,B2,4,3,1,B2,"to do or achieve what was hoped for or expected|to do or have what is required or necessary|to have a particular role or purpose"
gear,noun,C1,4,3,1,C1,"equipment in a vehicle that changes the relation between engine speed (or pedal speed on a bicycle) and the speed of the wheels moving forwards or backwards|a particular position of the gears in a veh"
glance,noun, verb,C1,3,2,1,C1,"a quick look|to look at something quickly, whether a person, place, or written material"
glitch,noun,C2,3,2,1,None,"a small problem or fault that stops something working successfully|a type of electronic music that uses sound recordings and electronic instruments that have been made to work incorrectly so there are"
grasp,noun, verb,C1,4,3,1,C1,"a strong hold of somebody/something or control over somebody/something|a person’s understanding of a subject or of difficult facts|to take a strong hold of somebody/something"
guideline,noun,B2,2,1,1,B2,"a rule, instruction, or reference that helps you make a decision or do something"
ideal,noun,B2,2,1,1,A2,"a perfect idea, standard, or example that is worth trying to achieve"
imply,verb,B2,2,1,1,B2,"to suggest that something is true without saying so directly, or to make it seem likely"
inconvenience,noun,C1,3,2,1,None,"trouble or problems, especially in connection with what you need or would like yourself|a person or thing that causes problems or difficulties"
insert,verb,B2,2,1,1,B2,"to put something into something else, whether a physical object or a piece of writing"
inspection,noun,C1,2,1,1,C1,"an act of looking closely at something, especially to check that it is correct, safe, or as it should be"
intellectual,noun,C1,2,1,1,B2,"a person who is well educated and enjoys activities in which they have to think seriously about things"
junction,noun,C1,2,1,1,C1,"a place where two or more things meet or are joined, such as roads, cables, or rivers"
lean,verb,B2,4,3,1,B2,"to bend or move from a straight position to a sloping position ; to rest on or against something for support ; to make something rest against something in a sloping position"
lethal,adjective,C1,2,1,1,C1,"causing or able to cause death, or causing or able to cause a lot of harm or damage"
liberal,adjective, noun,C1,5,4,1,C1,"willing to understand and respect other people’s behaviour, opinions, etc., especially when they are different from your own; believing people should be able to choose how they behave|following or sup"
liberty,noun,C1,2,1,1,C1,"the freedom to live as you choose without excessive limits from authority, or the state of not being imprisoned"
log,noun, verb,C1,4,3,1,C1,"a thick piece of wood that is cut from or has fallen from a tree|an official record of events during a particular period of time, especially a journey on a ship or plane|a written or digital record of"
loop,noun,C1,2,1,1,C1,"a shape like a curve or circle, made by a line, rope, wire, etc. that curves back on itself"
loyalty,noun,C1,2,1,1,C1,"the quality or feeling of being constant and supportive in your allegiance to someone or something"
manufacture,verb,B2,2,1,1,B2,"to make goods in large quantities, using machines"
melody,noun,C1,2,1,1,C1,"a tune, especially the main tune in a piece of music or a song with a clear melody"
memorial,noun,C1,2,1,1,C1,"something that is built, made, or kept to remind people of an important person or event"
mentor,noun,C1,2,1,1,C1,"an experienced person who advises and helps somebody with less experience over a period of time"
merit,noun,C1,2,1,1,C1,"the quality of being good and deserving praise, or a feature of something that deserves praise"
momentum,noun,C1,2,1,1,C1,"the ability to keep increasing or developing, or a force that is gained by movement"
monthly,adjective,B2,3,2,1,B2,"happening once a month or every month|paid, calculated or legally acceptable for one month"
narrative,noun,B1,3,2,1,B1,"a description of events ; the part of a novel that tells the story, rather than the dialogue"
navigate,verb,B2,2,1,1,None,"to plan and direct the course of a vehicle, or to sail along, over, or through a body of water"
negotiate,verb,B2,2,1,1,B2,"to discuss something formally in order to reach an agreement or arrange something"
noble,adjective,C1,3,2,1,C1,"having or showing fine personal qualities that people admire, such as courage, honesty and care for others|belonging to a family of high social rank (= belonging to the nobility)"
nominate,verb,C1,2,1,1,C1,"to formally suggest that someone should be chosen for an important role or position, or to choose them for a job"
occurrence,noun,C1,2,1,1,C1,"something that happens or exists, or the fact of something happening"
oral,adjective,C1,3,2,1,C1,"spoken rather than written|connected with the mouth"
output,noun,B2,3,2,1,B2,"the amount of something that a person, a machine or an organization produces ; the information, results, etc. produced by a computer"
pace,noun,B2,2,1,1,B2,"the speed at which somebody/something walks, runs or moves"
panic,noun,B2,3,2,1,B2,"a sudden feeling of great fear that cannot be controlled and prevents you from thinking clearly ; a situation in which people are made to feel very anxious or frightened, causing them to act quickly a"
parallel,adjective, noun,B2,4,3,1,B2,"two or more lines that are parallel to each other are the same distance apart at every point|very similar or taking place at the same time|a person, situation, event, or feature that is very similar t"
paranoid,adjective,C2,3,2,1,None,"believing that other people dislike you or want to harm you, when there is no reason or evidence for this|having false beliefs because of a mental illness, especially the belief that people are trying"
parliament,noun,B2,2,1,1,B2,"the group of people elected to make and change a country's laws, or the institution where they do this"
passing,noun,C1,4,3,1,C1,"the process of time going by|the fact of something ending or of somebody dying|the act of making something become a law"
password,noun,B2,2,1,1,B2,"a secret word or code that you need to know or type in order to access a system or place"
patience,noun,B2,2,1,1,B2,"the ability to stay calm and persist without complaining, whether waiting or doing something difficult"
peak,noun,C1,4,3,1,C1,"the point when somebody/something is best, most successful, strongest, etc.|the pointed top of a mountain; a mountain with a pointed top"
pirate,noun,C1,4,3,1,C1,"(especially in the past) a person on a ship who attacks other ships at sea in order to steal from them|a person who makes illegal copies of books, computer programs, etc., in order to sell them|a pers"
pity,noun,B2,2,1,1,B2,"used to show that you are disappointed about something"
plague,verb,C2,2,1,1,None,"to cause pain or trouble to somebody/something over a period of time"
plague,verb,C2,2,1,1,None,"to cause pain or trouble to somebody/something over a period of time"
plateau,verb,C2,2,1,1,None,"level off"
pop,verb,C1,5,4,1,A2,"to make a short explosive sound; to cause something to make this sound|to burst, or make something burst (= break apart or open), with a short explosive sound|to go somewhere quickly, suddenly or for "
preference,noun,B2,2,1,1,B2,"a greater liking for one thing over another, or the thing that is liked better"
prejudice,noun,C1,2,1,1,C1,"an unreasonable dislike of or preference for a person, group, custom, etc., especially when it is based on their race, religion, sex, etc."
presence,noun,B2,2,1,1,B2,"the fact of being present in a particular place or thing"
principal,noun,C1,2,1,1,C1,"a person who is in charge of a school, college, or other educational institution"
productive,adjective,C1,2,1,1,C1,"producing or achieving a lot, especially in terms of goods, crops, or work done"
prosecutor,noun,C1,2,1,1,C1,"a lawyer (especially a public official) who leads the case against a defendant in court"
publication,noun,B2,2,1,1,B2,"the act of printing and making something available to the public, or the thing that is published"
rail,noun,B2,4,3,1,B2,"a wooden or metal bar placed around something as a barrier or to provide support|a bar fixed to the wall for hanging things on|each of the two metal bars that form the track that trains run on"
rally,noun, verb,C1,4,3,1,C1,"a large public meeting, especially one held to support a particular idea or political party|a race for cars, motorcycles, etc. over public roads|to come together or bring people together in order to h"
rebel,noun,C1,4,3,1,C1,"a person who fights against the government of their country ; a person who opposes somebody in authority over them within an organization, a political party, etc. ; a person who does not like to obey "
rebuild,verb,B2,2,1,1,B2,"to build or make something complete and strong again, whether physically or figuratively"
recruit,noun, verb,B2,4,3,1,B2,"a person who has recently joined an organization, especially the armed forces, police, or a profession|to find new people to join a company, an organization, the armed forces, etc.|to form a new army,"
reference,verb,B1,3,2,1,B1,"to refer to something; to provide a book, etc. with references"
removal,noun,C1,2,1,1,C1,"the act of taking something away or getting rid of it"
reproduction,noun,C1,4,3,1,C1,"the act or process of producing babies, young animals or plants|the act or process of producing copies of a document, book, picture, etc.|the quality of recorded sound"
resource,noun,B1,2,1,1,B1,"a supply of something that can be used to help achieve an aim, whether natural materials, money, or information"
retirement,noun,B2,2,1,1,B2,"the act of leaving your job and stopping work, usually at a particular age, or the period of your life after that"
revival,noun,C1,2,1,1,C1,"an improvement in the condition of something, or the process of it becoming popular or fashionable again"
revolutionary,adjective,C1,3,2,1,C1,"connected with political revolution|involving a great or complete change"
riot,noun,C1,2,1,1,C1,"a situation in which a group of people behave in a violent way in a public place, often as a protest"
ritual,noun,C1,2,1,1,C1,"a series of actions that are always performed in the same way, especially as part of a religious ceremony"
sacred,adjective,C1,2,1,1,C1,"connected with God or considered to be holy, or treated as so important that it must not be changed or challenged"
sanction,noun,C1,3,2,1,C1,"an official order that limits trade, contact, etc. with a particular country, in order to make it do something, such as obeying international law ; a course of action that can be used, if necessary, t"
scare,noun, verb,B2,4,3,1,B2,"a feeling of fear, or a situation in which people are anxious or frightened|to frighten somebody ; to become frightened"
screw,noun, verb,C1,4,3,1,C1,"a thin pointed piece of metal like a nail with a raised spiral line (called a thread) along it and a line or cross cut into its head. Screws are turned and pressed into wood, metal, etc. with a screwd"
sketch,noun,C1,3,2,1,C1,"a simple picture that is drawn quickly and does not have many details|a short funny scene on television, in the theatre, etc."
slash,verb,C1,3,2,1,C1,"to make a long cut with a sharp object, especially in a violent way|to reduce something by a large amount"
slavery,noun,C1,2,1,1,C1,"the state or practice of being forced to work as a slave, owned by another person"
sovereignty,noun,C1,2,1,1,C1,"complete power to govern a country, or the state of being a self-governing country"
span,noun, verb,C1,4,3,1,C1,"the length of time that something lasts or is able to continue|to last all through a period of time or to cover the whole of it|to include a large area or a lot of things"
spare,verb,C1,4,3,1,B2,"to make something such as time or money available to somebody or for something, especially when it requires an effort for you to do this|to save somebody/yourself from having to go through an unpleasa"
spectacle,noun,C1,4,3,1,C1,"two lenses in a frame that rests on the nose and ears. People wear spectacles in order to be able to see better or to protect their eyes from bright light.|a performance or an event that is very impre"
stack,verb,C2,2,1,1,None,"if aircraft stack (up) or are stacked (up) over an airport, there are several flying around waiting for their turn to land"
stake,noun,C1,3,2,1,C1,"money that somebody invests in a company|a part or share in a business, plan, etc. that will bring you money or other benefits if it succeeds"
strand,noun,C1,3,2,1,C1,"a single thin piece of thread, wire, hair, etc.|one of the different parts of an idea, a plan, a story, etc."
striking,adjective,C1,2,1,1,C1,"interesting, unusual, or attractive enough to attract attention"
suppress,verb,C1,4,3,1,C1,"to put an end, often by force, to a group or an activity that is believed to threaten authority|to prevent something from being published or made known|to prevent yourself from having or expressing a "
tap,noun, verb,B2,4,3,1,B2,"a device for controlling the flow of water from a pipe into a bath or sink|a light hit with your hand or fingers|to hit something lightly and quickly, often repeatedly or to a rhythm"
tension,noun,B2,4,3,1,B2,"a situation in which people do not trust each other, or feel unfriendly towards each other, and that may cause them to attack each other|a situation in which the fact that there are different needs or"
terminal,noun,B2,2,1,1,B2,"a building or set of buildings at an airport, railway station, or port where journeys begin or end"
terminal,adjective,C1,4,3,1,B2,"that cannot be cured and will lead to death, often slowly|suffering from an illness that cannot be cured and will lead to death|certain to get worse and come to an end"
tidy,adjective,A2,3,2,1,A2,"arranged neatly and with everything in order ; keeping things neat and in order"
torture,noun, verb,C1,4,3,1,C1,"extreme physical or mental pain, whether deliberately inflicted or experienced as suffering|to hurt somebody physically or mentally in order to punish them or make them tell you something|to make some"
trailer,noun,C1,4,3,1,C1,"a truck, or a container with wheels, that is pulled by another vehicle|a vehicle without an engine, that can be pulled by a car or truck or used as a home or an office when it is parked|a small buildi"
vow,verb,C1,2,1,1,C1,"to make a formal and serious promise to do something or a formal statement that is true"
weed,noun,C1,3,2,1,C1,"a wild plant growing where it is not wanted, especially among crops or garden plants|any wild plant without flowers that grows in water and forms a green floating mass"
well,noun,C1,2,1,1,A1,"a deep hole in the ground from which people obtain water. The sides of wells are usually covered with brick or stone and there is usually a cover or a small wall at the top of the well."
whip,verb,C1,4,3,1,C1,"to hit a person or an animal hard with a whip, as a punishment or to make them go faster or work harder|to move, or make something move, quickly and suddenly or violently in a particular direction|to "
withdrawal,noun,C1,4,3,1,C1,"the act of taking an amount of money out of your bank account|the act of moving or taking something away or back|the act of no longer taking part in something or being a member of an organization"
worthy,adjective,C1,4,3,1,C1,"having the qualities that deserve somebody/something|having qualities that deserve your respect or attention|having good qualities but not very interesting or exciting"
